vowel,F3,F2,F1,F3_norm,F2_norm,F1_norm
i,3455.746006197694,2741.9126132233177,451.15199455750013,1.5434520036880028,1.076801619334684,-0.8176968954192874
i,3628.782833790393,2728.6751266194433,431.8841074906604,2.052023400407183,1.0661917781320909,-1.2114466908486476
i,3638.2552806945464,2866.944364359559,426.7419846673213,2.0791592212448666,1.174560088286746,-1.3195003120602053
i,3463.4756233485937,2697.0251875072395,426.8238048844899,1.566708211436889,1.040614254571654,-1.31777081671084
i,3412.7948389860335,2496.871662224991,399.3105453595902,1.4132690497326144,0.871561779071816,-1.9188722653737873
i,3277.198322569972,2621.1786638378326,443.86630421720673,0.991261407122678,0.9780773130330386,-0.9645706364229896
i,3218.907140867124,2566.031474030663,469.02442560093596,0.8044517062714245,0.9314605194827263,-0.46721715320699675
i,3333.93411573797,2770.322268657168,405.86925213123595,1.1699224690517747,1.0994000659444971,-1.7719015796013868
i,3280.217072645054,2776.312863509447,411.85079033332266,1.0008450907656106,1.1041356877340691,-1.6399204763812587
i,3435.34268589308,2678.081828856709,430.6264915670169,1.4818134765543662,1.0251614200135932,-1.2377541960290672
i,3270.552265178124,3016.707003371459,436.7050856394761,0.9701308920305232,1.286191615008315,-1.1113036047291187
i,3193.6699373780352,2874.552325115845,410.3245662481332,0.7225205943230791,1.1803701385514922,-1.6734131730438881
i,3407.214402117802,2490.467539398397,407.9791348315693,1.3962348667279423,0.8659315317165418,-1.7251268218524867
i,3405.1908043675344,2862.945311368366,440.74439694400087,1.3900509774621543,1.1714999048521832,-1.0282451129976764
i,3352.5016995893425,2719.4326348238988,404.6942945104717,1.2277320479339402,1.0587533650669159,-1.798055163390171
i,3250.6342664646522,2697.408817669001,460.0981206428833,0.9065453462722637,1.0409260741297717,-0.6405607697191561
i,3429.9340436212424,2517.6123065521747,444.08123473127625,1.4654125540754306,0.8896975058302287,-0.9602034015637742
i,3307.075127521809,2667.550917857762,450.365126911173,1.085725606697004,1.0165236054591718,-0.8334448295531579
i,3545.826519492817,2889.563220443991,418.6630971175853,1.811305426418979,1.1917886999347251,-1.491923511554469
i,3319.8667934314853,2806.730916705262,458.31566102762355,1.1259095413263378,1.128024863693413,-0.6755776637520741
i,3291.211223499284,2735.36977827156,412.8265808179683,1.0356740341313866,1.071563956600959,-1.618571921932833
i,3170.319563179999,2873.169189781519,466.63384462427246,0.6461362570830572,1.1793150098004224,-0.5133152412890527
i,3359.859093501556,2899.537716553994,444.9017471472908,1.2505505360588829,1.199343391943939,-0.9435505886447654
i,3263.232809373576,2810.8906633404367,470.6060989772814,0.9468096269358589,1.1312716295370502,-0.43684637867498427
